directory,scenario,policy,state,ranking_eligible,violations,invalid,violation_reasons,min_soc_kwh,max_soc_kwh,max_abs_dispatch_kw,energy_residual_kwh,export_kwh,import_kwh,load_kwh,max_loading,max_power_residual_pu,max_voltage_pu,min_voltage_pu,network_loss_kwh,peak_import_kw,solar_kwh,storage_delta_kwh,storage_loss_kwh,total_loss_kwh
bridge/case-01,exploration family=combined seed=11 scale=0.7,combined_4,COMPLETED_VALID,True,0,0,,40.0,70.4,8,-1.007283145781912e-11,267.6585877558063,514.3963153890539,893.7124283,0.6409000323187963,3.042962290849447e-11,1.0346977846842373,1.0164880308547004,4.4219964332577995,56.29318981067172,654.5166971000001,7.105427357601002e-15,3.1199999999999983,7.541996433257798
bridge/case-01,exploration family=combined seed=11 scale=0.7,combined_5,COMPLETED_VALID,True,0,0,,40.0,70.4,8,-1.9967139053278515e-11,267.70023582257846,514.3963153890539,893.7124283,0.6343764441188957,3.5529374492193266e-11,1.034241655161483,1.0164880308547004,4.380348366495426,56.29318981067172,654.5166971000001,7.105427357601002e-15,3.1199999999999983,7.500348366495424
bridge/case-01,exploration family=combined seed=11 scale=0.7,combined_6,COMPLETED_INFEASIBLE,False,19,0,storage capacity,39.99999999999999,85.59999999999997,12,-9.724665517296671e-12,251.77662621707333,499.8508611191922,893.7124283,0.6409000323187963,3.038886200212937e-11,1.0346977846842373,1.0167030891017625,4.198503702128639,52.647940470848596,654.5166971000001,-7.105427357601002e-15,4.679999999999998,8.878503702128636
bridge/case-01,exploration family=combined seed=11 scale=0.7,combined_7,COMPLETED_INFEASIBLE,False,15,0,storage capacity,39.99999999999999,85.59999999999997,12,-2.2931878618237533e-11,251.83932838680533,499.8508611191922,893.7124283,0.5963934172987867,3.648270779327103e-11,1.0340123609261618,1.0167030891017625,4.1358015324098405,52.647940470848596,654.5166971000001,-7.105427357601002e-15,4.679999999999998,8.81580153240984
bridge/case-02,exploration family=storage seed=11 scale=0.85,baseline,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,8.983924715266767e-12,243.5613227236401,680.5146331584973,1085.2222358249996,0.8871076783180245,5.869413746950698e-11,1.009051976542445,0.9883003027349101,6.247771709848732,77.40015978574255,654.5166971000001,0.0,0.0,6.247771709848732
bridge/case-02,exploration family=storage seed=11 scale=0.85,tap_m2,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,1.0769163338864018e-11,243.5071912360605,680.6205176507086,1085.2222358249996,0.8985706331742276,4.986330716046519e-11,0.9966639441810704,0.9756488568753958,6.4077876896377886,77.41885533160168,654.5166971000001,0.0,0.0,6.4077876896377886
bridge/case-02,exploration family=storage seed=11 scale=0.85,tap_p2,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,2.0818902157770935e-12,243.61349619674277,680.4127223622858,1085.2222358249996,0.875936385888771,5.1747186233676655e-11,1.02144268204039,1.000947885536332,6.093687440541281,77.38217132146659,654.5166971000001,0.0,0.0,6.093687440541281
bridge/case-02,exploration family=storage seed=11 scale=0.85,tap_p4,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,2.190958525716269e-11,243.66380458042886,680.3145879589174,1085.2222358249996,0.8650456579220751,5.829583803490035e-11,1.03383596712443,1.0135917527420037,5.945244653467089,77.36485449657545,654.5166971000001,0.0,0.0,5.945244653467089
bridge/case-02,exploration family=storage seed=11 scale=0.85,storage_0,COMPLETED_VALID,True,0,0,,40.0,47.60000000000002,2,2.968891799071116e-11,235.65993707959007,673.1713848121785,1085.2222358249996,0.8672278530129947,6.209146892354131e-11,1.009051976542445,0.9889534911864977,6.025909007559291,75.55890600130851,654.5166971000001,0.0,0.7799999999999996,6.805909007559291
bridge/case-02,exploration family=storage seed=11 scale=0.85,storage_1,COMPLETED_VALID,True,0,0,,40.0,47.60000000000002,2,2.4763080475054267e-11,235.67163613501174,673.1713848121785,1085.2222358249996,0.8672278530129947,6.209146892354131e-11,1.008935274707609,0.9889534911864977,6.014209952142431,75.55890600130851,654.5166971000001,0.0,0.7799999999999996,6.79420995214243
